name,value,year,lastValue,rank
Allscripts,1784700,2017,1784700,1
eHealth,647180,2017,647180,4
Raintree,1198893,2017,1198893,2
GrubHub,0,2017,0,5
Nuance,800915,2017,800915,3
Allscripts,3515886,2017.1,1784700,1
eHealth,808158,2017.1,647180,4
Raintree,1419318,2017.1,1198893,2
GrubHub,0,2017.1,0,5
Nuance,898476,2017.1,800915,3
Allscripts,6915862,2017.2,3515886,1
eHealth,804149,2017.2,808158,4
Raintree,1260445,2017.2,1419318,3
GrubHub,0,2017.2,0,5
Nuance,887757,2017.2,898476,2
Allscripts,7691474,2017.3,6915862,1
eHealth,833861,2017.3,804149,4
Raintree,1421762,2017.3,1260445,2
GrubHub,52061,2017.3,0,5
Nuance,1031364,2017.3,887757,3
Allscripts,8279971,2017.4,7691474,1
eHealth,896813,2017.4,833861,3
Raintree,1405006,2017.4,1421762,2
GrubHub,216348,2017.4,52061,5
Nuance,890274,2017.4,1031364,4
Allscripts,9531496,2017.5,8279971,1
eHealth,809138,2017.5,896813,3
Raintree,1340826,2017.5,1405006,2
GrubHub,609,2017.5,216348,5
Nuance,421647,2017.5,890274,4
Allscripts,9517200,2017.6,9531496,1
eHealth,908805,2017.6,809138,4
Raintree,1515710,2017.6,1340826,3
GrubHub,30965,2017.6,609,5
Nuance,1529908,2017.6,421647,2
Allscripts,10148677,2017.7,9517200,1
eHealth,768402,2017.7,908805,5
Raintree,1340854,2017.7,1515710,4
GrubHub,1362514,2017.7,30965,3
Nuance,1462882,2017.7,1529908,2
Allscripts,9258842,2017.8,10148677,1
eHealth,918870,2017.8,768402,5
Raintree,1552756,2017.8,1340854,4
GrubHub,2256469,2017.8,1362514,2
Nuance,1680598,2017.8,1462882,3
Allscripts,10337576,2017.9,9258842,1
eHealth,852822,2017.9,918870,5
Raintree,1584859,2017.9,1552756,4
GrubHub,1777096,2017.9,2256469,2
Nuance,1675217,2017.9,1680598,3
Allscripts,9647109,2018,10337576,1
eHealth,782686,2018,852822,5
Raintree,1555331,2018,1584859,4
GrubHub,2906804,2018,1777096,2
Nuance,1712392,2018,1675217,3
